Simple Textures:
Lightning Surge Width:64 Height:64
Maelstrom Width:64 Height:64
Magic Barrier Width:64 Height:64
Martial Arts 01 Width:64 Height:64
Martial Arts 02 Width:64 Height:64
Martial Arts 03 Width:64 Height:64
Meteor 01 Width:64 Height:64
Meteor 02 Width:64 Height:64
Meteor 03 Width:64 Height:64
Meteor 04 Width:64 Height:64
Multishot Width:64 Height:64
Natures Grace Width:64 Height:64
Night Width:64 Height:64
Pathfinding Width:64 Height:64
Phantom Width:64 Height:64
Poison Arrow Width:64 Height:64
Poison Claws Width:64 Height:64
Poison Cloud Width:64 Height:64
Poison Skull Width:64 Height:64
Poison Splash Width:64 Height:64
Quick Shot Width:64 Height:64
Quick Step Width:64 Height:64
Raise Undead Width:64 Height:64
Regrowth Width:64 Height:64
Revenge2 Width:64 Height:64
Sap2 Width:64 Height:64
Seismic Slam 01 Width:64 Height:64
Seismic Slam 02 Width:64 Height:64
Seismic Slam 03 Width:64 Height:64
Sharpshooter Width:64 Height:64
Shield Breaker Width:64 Height:64
Shieldwall Width:64 Height:64
Shock Wave Width:64 Height:64
Shred Width:64 Height:64
Slash Width:64 Height:64
Soothing Water Width:64 Height:64
Spectral Ball Width:64 Height:64
Spell Shield Width:64 Height:64
Stab Width:64 Height:64
Starfall 01 Width:64 Height:64
Starfall 02 Width:64 Height:64
Stone Skin Width:64 Height:64
Strike Width:64 Height:64
Summon Bat 01 Width:64 Height:64
Summon Bat 02 Width:64 Height:64
Summon Bat 03 Width:64 Height:64
Summon Bat 04 Width:64 Height:64
Summon Bear Width:64 Height:64
Summon Black Horse Width:64 Height:64
Summon Brown Horse Width:64 Height:64
Summon Crow Width:64 Height:64
Summon Grey Pony Width:64 Height:64
Summon Raven 01 Width:64 Height:64
Summon Raven 02 Width:64 Height:64
Summon Raven 03 Width:64 Height:64
Summon Raven 04 Width:64 Height:64
Summon Raven 05 Width:64 Height:64
Summon Spirit Bear Width:64 Height:64
Summon Spirit Wolf Width:64 Height:64
Summon White Horse Width:64 Height:64
Summon Wolf Width:64 Height:64
Sure Strike Width:64 Height:64
Terrify Width:64 Height:64
Thunder Storm Width:64 Height:64
Thunder Strike Width:64 Height:64
Thunder Strike 02 Width:64 Height:64
Thunder Strike 03 Width:64 Height:64
Thunder Strike 04 Width:64 Height:64
Tornado Width:64 Height:64
Track Beasts Width:64 Height:64
Tracking Width:64 Height:64
Unholy Blast Width:64 Height:64
Unholy Mastery Width:64 Height:64
Volcanic Eruption Width:64 Height:64
Weapon Throw Width:64 Height:64
Whirling Axe Width:64 Height:64
Whirlwind Width:64 Height:64
Wild Shot Width:64 Height:64
Windshot Width:64 Height:64
Wrath of Nature 01 Width:64 Height:64
Wrath of Nature02 Width:64 Height:64
3ColumnTab_Active Width:30 Height:32
3ColumnTab_Off Width:30 Height:32
AbilitiesTab_Active Width:30 Height:32
AbilitiesTab_Off Width:30 Height:32
AbilityHotbar_DiamondFrame Width:74 Height:78
AbilityHotbar_DiamondFrame_Click Width:74 Height:78
AbilityHotbar_DiamondFrame_Hover Width:74 Height:78
AbilityHotbar_Middle Width:74 Height:78
AbilityHotbar_PrestigeFrame_Click Width:74 Height:78
AbilityHotbar_PrestigeFrame_Default Width:74 Height:78
AbilityHotbar_PrestigeFrame_Hover Width:74 Height:78
AbilityHotbar_Sides_L Width:212 Height:78
AbilityHotbar_Sides_R Width:212 Height:78
AmountSelectionWindowBackground Width:52 Height:25
AmountSelectionWindowCheckButtonClick Width:21 Height:21
AmountSelectionWindowCheckButtonDefault Width:21 Height:21
AmountSelectionWindowCheckButtonHover Width:21 Height:21
AmountSelectionWindowCloseButtonClick Width:21 Height:21
AmountSelectionWindowCloseButtonDefault Width:21 Height:21
AmountSelectionWindowCloseButtonHover Width:21 Height:21
arrow_small Width:64 Height:32
ArrowFrameBackground Width:84 Height:151
ArrowFrameBackground1 Width:49 Height:81
ArrowFrameBackground2 Width:33 Height:49
ArrowLeft_Active Width:9 Height:17
ArrowLeft_Default Width:9 Height:17
ArrowLeft_Hover Width:9 Height:17
ArrowRight_Active Width:9 Height:17
ArrowRight_Default Width:9 Height:17
ArrowRight_Hover Width:9 Height:17
Blank_Slot Width:61 Height:63
BossHealth_EndCaps Width:92 Height:23
BossHealth_Frame Width:47 Height:16
button Width:17 Height:17
cancel Width:32 Height:21
cancel_active Width:32 Height:21
Category2SelectionBoxClick Width:34 Height:34
Category2SelectionBoxDefault Width:34 Height:34
Category2SelectionBoxHover Width:34 Height:34
CategoryTitleFrame_Click Width:10 Height:10
CategoryTitleFrame_Default Width:10 Height:10
CategoryTitleFrame_Hover Width:10 Height:10
CategoryTitleFrameDivider Width:5 Height:36
ChamferFrameBackground Width:90 Height:88
CharacterButton_Click Width:44 Height:42
CharacterButton_Default Width:44 Height:42
CharacterButton_Hover Width:44 Height:42
CharacterTab_Active Width:30 Height:32
CharacterTab_Off Width:30 Height:32
CharacterWindowIcon_HoverGlow Width:43 Height:43
Checkbox32px_Off Width:32 Height:32
Checkbox32px_Off_Ornaments Width:32 Height:32
Checkbox32px_On Width:32 Height:32
Checkmark Width:24 Height:24
CircleButtonSmall_Click Width:24 Height:24
CircleButtonSmall_Default Width:24 Height:24
CircleButtonSmall_Hover Width:24 Height:24
close_button Width:20 Height:20
coin_symbol Width:9 Height:9
CollapseArrow1 Width:7 Height:11
CollapseArrow2 Width:11 Height:7
CombatStatus Width:114 Height:114
CombatToggleButton_Active_Click Width:44 Height:42
CombatToggleButton_Active_Default Width:44 Height:42
CombatToggleButton_Active_Hover Width:44 Height:42
CombatToggleButton_Passive_Click Width:44 Height:42
CombatToggleButton_Passive_Default Width:44 Height:42
CombatToggleButton_Passive_Hover Width:44 Height:42
commit Width:32 Height:21
commit_active Width:32 Height:21
CraftingCategorySelectionActive Width:66 Height:66
CraftingCategorySelectionDefault Width:13 Height:13
CraftingCategorySelectionHover Width:64 Height:64
CraftingItemsFrame Width:46 Height:46
CraftingNoItemsFrame Width:46 Height:46
CraftingQualityFrameHighlight Width:50 Height:50
CraftingTabDivider Width:3 Height:3
CraftingWindowBackground Width:356 Height:131
CraftingWindowBlankUserAction Width:32 Height:32
CraftingWindowSectionBackground Width:100 Height:132
CraftingWindowSectionHeader Width:222 Height:28
CraftingWindowWeaponTypeHighlight Width:38 Height:38
CraftResourceOutline Width:32 Height:32
DiamondButton_DBackground_DropShadow Width:52 Height:52
DownButton_default Width:16 Height:16
DownButton_hover Width:16 Height:16
DynamicBar Width:185 Height:88
EquipSlotBG Width:41 Height:41
EvocationTab_Click Width:78 Height:58
EvocationTab_Default Width:78 Height:58
EvocationTab_Hover Width:78 Height:58
ExpandBackgroundGradient Width:25 Height:25
Familiar_Slot Width:61 Height:63
FireFactionSymbolLarge Width:100 Height:139
FullBody_Slot Width:61 Height:63
FullBorder Width:15 Height:15
GreyOutImage Width:8 Height:8
GroupUI_Frame Width:163 Height:39
GroupUI_Health Width:4 Height:6
GroupUI_Mana Width:4 Height:3
GroupUI_Stamina Width:4 Height:3
Head_Slot Width:61 Height:63
Header2CloseButton_Click Width:34 Height:34
Header2CloseButton_Default Width:34 Height:34
Header2CloseButton_Hover Width:34 Height:34
Header2FrameBackground Width:90 Height:88
Header2TitleBox Width:264 Height:42
HeaderCloseButton_Click Width:26 Height:24
HeaderCloseButton_Dark Width:26 Height:24
HeaderCloseButton_Default Width:26 Height:24
HeaderCloseButton_Hover Width:26 Height:24
healthbar_compactframe Width:18 Height:10
healthbar_frame Width:28 Height:18
HelpButton_Glow01 Width:50 Height:50
HelpButton_Glow02 Width:50 Height:50
HelpButton_Glow03 Width:50 Height:50
HelpButton_Glow04 Width:50 Height:50
HelpButton_Glow05 Width:50 Height:50
HelpButton_Glow06 Width:50 Height:50
HelpButton_Glow07 Width:50 Height:50
HelpButton_Glow08 Width:50 Height:50
HelpButton_Glow09 Width:50 Height:50
HelpButton_Glow10 Width:50 Height:50
HorizontalWindowDivider Width:171 Height:2
HouseDecorationWindow_RotateCCW Width:20 Height:20
HouseDecorationWindow_RotateCW Width:20 Height:20
InfoFrame Width:12 Height:12
InformationLightBackgroundColor Width:4 Height:4
InventoryCategorySelectionBubble Width:12 Height:12
InventoryCategorySelectionFilled Width:12 Height:12
InventoryContainerSelectionButton Width:26 Height:26
InventoryContainerSelectionButton_Active Width:26 Height:26
InventoryContainerSelectionButton_Hover Width:26 Height:26
InventoryDiamondButtons_Click_Close Width:40 Height:35
InventoryDiamondButtons_Click_LootAll Width:40 Height:35
InventoryDiamondButtons_Click_SizeDown Width:40 Height:35
InventoryDiamondButtons_Click_SizeUp Width:40 Height:35
InventoryDiamondButtons_Default_Close Width:40 Height:35
InventoryDiamondButtons_Default_LootAll Width:40 Height:35
InventoryDiamondButtons_Default_SizeDown Width:40 Height:35
InventoryDiamondButtons_Default_SizeUp Width:40 Height:35
InventoryDiamondButtons_Hover_Close Width:40 Height:35
InventoryDiamondButtons_Hover_LootAll Width:40 Height:35
InventoryDiamondButtons_Hover_SizeDown Width:40 Height:35
InventoryDiamondButtons_Hover_SizeUp Width:40 Height:35
InventoryDivider Width:122 Height:2
InventoryItemSelectionButton Width:26 Height:26
InventoryItemSelectionButton_Active Width:26 Height:26
InventoryItemSelectionButton_Hover Width:26 Height:26
InventoryListViewButton_Click Width:136 Height:28
InventoryListViewButton_Default Width:136 Height:28
InventoryListViewButton_Hover Width:136 Height:28
InventoryQuantitySymbol Width:12 Height:12
InventorySplitStackSelectionButton_Active Width:21 Height:21
InventorySplitStackSelectionButton_Default Width:21 Height:21
InventorySplitStackSelectionButton_Hover Width:21 Height:21
InventoryStorageContainerSymbol Width:9 Height:9
InventoryTabSymbol_All Width:20 Height:20
InventoryTabSymbol_Armor Width:20 Height:20
InventoryTabSymbol_Documents Width:20 Height:20
InventoryTabSymbol_Furniture Width:20 Height:20
InventoryTabSymbol_Miscellaneous Width:20 Height:20
InventoryTabSymbol_Potions Width:20 Height:20
InventoryTabSymbol_Resources Width:20 Height:20
InventoryTabSymbol_Tools Width:20 Height:20
InventoryTabSymbol_Weapons Width:20 Height:20
InventoryWeightSymbol Width:12 Height:12
InventoryWindow_Background Width:10 Height:149
InventoryWindow_GradientBottomCover Width:4 Height:49
InventoryWindow_NameplateDesign Width:4 Height:33
InventoryWindowTabBarBase Width:31 Height:35
InventoryWindowTabBarSelection Width:24 Height:23
Key_Slot Width:45 Height:45
KeyBinding_1 Width:38 Height:39
KeyBinding_2 Width:38 Height:39
KeyBinding_3 Width:38 Height:39
KeyBinding_4 Width:38 Height:39
KeyBinding_5 Width:38 Height:39
KeyBinding_6 Width:38 Height:39
KeyBindingGlow Width:54 Height:54
keyboard_key_icon Width:20 Height:20
KeysButton_Active Width:32 Height:32
KeysButton_Default Width:32 Height:32
KeysButton_Hover Width:32 Height:32
Kingthings_0 Width:256 Height:512
LargeTextFieldUnsliced Width:103 Height:44
LeaderIcon Width:19 Height:19
LeftHand_Slot Width:61 Height:63
Legs_Slot Width:61 Height:63
location_arrow Width:35 Height:40
location_corpse Width:50 Height:50
location_home Width:50 Height:50
location_town Width:94 Height:94
location_town_selected Width:94 Height:94
Lock_GoldDiamond Width:56 Height:56
Lock_SilverDiamond Width:56 Height:56
LockButton_default Width:16 Height:16
LockButton_hover Width:16 Height:16
LockedAbilityIcons Width:56 Height:56
manabar Width:5 Height:6
manabar_compactframe Width:18 Height:8
manabar_frame Width:13 Height:12
ManifestationTab_Click Width:76 Height:58
ManifestationTab_Default Width:76 Height:58
ManifestationTab_Hover Width:76 Height:58
marker_alchemist Width:37 Height:40
marker_architect Width:40 Height:39
marker_armorer Width:40 Height:40
marker_bank Width:40 Height:40
marker_blacksmith Width:37 Height:40
marker_carpenter Width:40 Height:40
marker_circle1 Width:50 Height:50
marker_circle2 Width:50 Height:50
marker_diamond1 Width:50 Height:50
marker_diamond2 Width:50 Height:50
marker_diamond3 Width:50 Height:50
marker_diamond4 Width:50 Height:50
marker_diamond5 Width:50 Height:50
marker_fisherman Width:30 Height:40
marker_general_store Width:35 Height:40
marker_graveyard Width:37 Height:40
marker_herbalist Width:40 Height:40
marker_inn Width:40 Height:40
marker_mission Width:33 Height:38
marker_scribe Width:35 Height:40
marker_sewer Width:40 Height:40
marker_tailor Width:40 Height:40
marker_tinkerer Width:40 Height:40
marker_trainer Width:37 Height:40
MedButton_Purp_Click_Merged Width:33 Height:33
MedButton_Purp_Default_Merged Width:33 Height:33
MedButton_Purp_Hover_Merged Width:33 Height:33
MedButton_Red_Click_Merged Width:33 Height:33
MedButton_Red_Default_Merged Width:33 Height:33
MedButton_Red_Hover_Merged Width:33 Height:33
MedButton_Standard_Click_Merged Width:33 Height:33
MedButton_Standard_Hover_Merged Width:33 Height:33
MediumButton_Standard_Default_Merged Width:33 Height:33
MinimapFrame Width:176 Height:176
MiniMapGlassFrame Width:264 Height:264
MinimapNorth Width:176 Height:176
MobHealth_EndCaps Width:45 Height:23
MobHealth_Frame Width:47 Height:16
ObjectButton_Unsliced Width:121 Height:20
ObjectPictureFrame Width:39 Height:39
ornatearrow_L Width:90 Height:43
ornatearrow_L_highlight Width:90 Height:43
ornatearrow_R Width:90 Height:43
ornatearrow_R_highlight Width:90 Height:43
pageflapL_click Width:154 Height:93
pageflapL_default Width:154 Height:93
pageflapL_hover Width:154 Height:93
pageflapR_click Width:154 Height:93
pageflapR_default Width:154 Height:93
pageflapR_hover Width:154 Height:93
PageHighlightFrame Width:4 Height:4
PartialBorder Width:15 Height:77
PartyHealth_EndCaps Width:60 Height:21
PartyHealth_Frame Width:47 Height:16
pentagram_marker Width:69 Height:73
PermianSlabSerif_0 Width:512 Height:512
PermianSlabSerifBold_24_0 Width:256 Height:256
PersonSilhouette Width:216 Height:216
PlusSign Width:21 Height:21
PlusSign_Mini Width:5 Height:5
progess_bar_empty Width:80 Height:80
progess_bar_full Width:80 Height:80
ProgressBarBG Width:137 Height:19
ProgressBarFrame Width:137 Height:19
ProgressBarFull Width:4 Height:19
PVPFlagButton_Click Width:44 Height:42
PVPFlagButton_Default Width:44 Height:42
PVPFlagButton_Hover Width:44 Height:42
RightHand_Slot Width:61 Height:63
rotate Width:32 Height:21
rotate_active Width:32 Height:21
scale Width:32 Height:21
scale_active Width:32 Height:21
Scrolbar2 Width:18 Height:25
ScrollBar_Unsliced Width:20 Height:51
Scrollbar2_Scroller Width:14 Height:12
SearchBarFrame Width:23 Height:24
SearchSymbol_Active Width:15 Height:16
SearchSymbol_Default Width:15 Height:16
SearchSymbol_Hover Width:15 Height:16
SectionBackground Width:49 Height:50
SectionDividerBar Width:40 Height:9
SectionDividerBar_Half Width:19 Height:9
SectionDividerFrames_nobackground Width:32 Height:32
SettingsButton Width:26 Height:26
SettingsButton_Click Width:44 Height:42
SettingsButton_Default Width:44 Height:42
SettingsButton_Hover Width:44 Height:42
SimpleButton_Click Width:22 Height:22
SimpleButton_Default Width:22 Height:22
SimpleButton_Hover Width:22 Height:22
SimpleButton_Inactive Width:22 Height:22
Skill_Firstaid Width:84 Height:84
SkillIconsPrestigeFrame Width:145 Height:145
SkillItemFrame Width:257 Height:64
SkillItemFrame_Highlighted Width:257 Height:64
SkillLevelBarFull Width:4 Height:14
SkillLevelLabelBarFrameLine Width:4 Height:7
SkillLevelProgressBar Width:4 Height:12
SkillLevelProgressRefillBar Width:4 Height:12
SkillsButton Width:44 Height:42
SkillsButton_Click Width:44 Height:42
SkillsButton_Default Width:44 Height:42
SkillsButton_Hover Width:44 Height:42
SkillsCategoryDivider Width:8 Height:3
SkillsCategoryTitleFrame Width:35 Height:35
SkillsDarkBackground Width:10 Height:10
SkillsSectionGradient Width:4 Height:100
SkillsSelectionFrame_Active Width:29 Height:29
SkillsSelectionFrame_Default Width:29 Height:29
SkillsSelectionFrame_Hover Width:29 Height:29
SkillsTab_Active Width:30 Height:32
SkillsTab_Off Width:30 Height:32
SkillTrackerFrame Width:100 Height:29
SkillWindowMinimize_Click Width:30 Height:136
SkillWindowMinimize_Default Width:30 Height:136
SkillWindowMinimize_Hover Width:30 Height:136
SpellbookCloseButton_Click Width:22 Height:22
SpellbookCloseButton_Default Width:22 Height:22
SpellbookCloseButton_Hover Width:22 Height:22
SpellIndexInfo_Divider Width:5 Height:4
SpellInfo_IconFrame Width:12 Height:12
SpellInfo_ReagentFrame Width:16 Height:16
StaminaBar Width:5 Height:5
StaminaBar_Frame Width:13 Height:20
star Width:64 Height:64
star_filled Width:64 Height:64
StatusBar_Frame Width:84 Height:84
StatusBarBG Width:4 Height:14
StatusBarBG2 Width:158 Height:62
StatusBarFrame Width:103 Height:14
StealthButton_Click Width:44 Height:42
StealthButton_Default Width:44 Height:42
StealthButton_Hover Width:44 Height:42
SystemMessage_Center Width:460 Height:80
SystemMessage_Left Width:121 Height:80
SystemMessage_Right Width:121 Height:80
TabActive Width:6 Height:29
TabFrameBackground Width:23 Height:23
TabInactive Width:6 Height:29
TabSelectionBackground Width:25 Height:25
TargetingWindowBase_Health Width:91 Height:45
TargetingWindowBase_StatBar Width:168 Height:30
TargetingWindowCapDesign Width:57 Height:90
Textbox_Major_Elements Width:121 Height:121
Textbox_NoBG Width:108 Height:108
TextBoxBG Width:4 Height:4
TextboxHeaderUnsliced Width:281 Height:131
TextFieldButton_Blue_Click_Dropdown Width:24 Height:24
TextFieldButton_Blue_Click_Plus Width:24 Height:24
TextFieldButton_Blue_Click_UpArrow Width:24 Height:24
TextFieldButton_Blue_Dark_Dropdown Width:24 Height:24
TextFieldButton_Blue_Dark_Plus Width:24 Height:24
TextFieldButton_Blue_Dark_UpArrow Width:24 Height:24
TextFieldButton_Blue_Default_Dropdown Width:24 Height:24
TextFieldButton_Blue_Default_Plus Width:24 Height:24
TextFieldButton_Blue_Default_UpArrow Width:24 Height:24
TextFieldButton_Blue_Hover_Dropdown Width:24 Height:24
TextFieldButton_Blue_Hover_Plus Width:24 Height:24
TextFieldButton_Blue_Hover_UpArrow Width:24 Height:24
TextFieldButton_Click_Dropdown Width:36 Height:36
TextFieldButton_Click_Minus Width:36 Height:36
TextFieldButton_Click_Plus Width:36 Height:36
TextFieldButton_Click_UpArrow Width:36 Height:36
TextFieldButton_Click_X Width:36 Height:36
TextFieldButton_Dark_Dropdown Width:36 Height:36
TextFieldButton_Dark_Minus Width:36 Height:36
TextFieldButton_Dark_Plus Width:36 Height:36
TextFieldButton_Dark_UpArrow Width:36 Height:36
TextFieldButton_Dark_X Width:36 Height:36
TextFieldButton_Default_Dropdown Width:36 Height:36
TextFieldButton_Default_Minus Width:36 Height:36
TextFieldButton_Default_Plus Width:36 Height:36
TextFieldButton_Default_UpArrow Width:36 Height:36
TextFieldButton_Default_X Width:36 Height:36
TextFieldButton_Hover_Dropdown Width:36 Height:36
TextFieldButton_Hover_Minus Width:36 Height:36
TextFieldButton_Hover_Plus Width:36 Height:36
TextFieldButton_Hover_UpArrow Width:36 Height:36
TextFieldButton_Hover_X Width:36 Height:36
ThinFrameBackgroundDark Width:10 Height:10
ThinFrameBackgroundExpand Width:10 Height:10
ThinFrameBackgroundInfo Width:10 Height:10
ThinFrameInfoDivider_Horizontal Width:6 Height:6
ThinFrameInfoDivider_Vertical Width:5 Height:5
TitleBar Width:109 Height:36
tooltip_merged Width:25 Height:25
TopGradient Width:4 Height:100
Torso_Slot Width:61 Height:63
TradeWindow_AcceptedCheckBox Width:53 Height:18
TradeWindow_AcceptedCheckBox_Click Width:26 Height:26
TradeWindow_AcceptedCheckBox_Hover Width:26 Height:26
TradeWindow_Arrow_MyOffer Width:213 Height:22
TradeWindow_Arrow_TheirOffer Width:213 Height:22
TradeWindow_Background Width:373 Height:41
translate Width:32 Height:21
translate_active Width:32 Height:21
unlock Width:24 Height:30
UpButton_default Width:16 Height:16
UpButton_hover Width:16 Height:16
VerticalWindowDivider Width:2 Height:171
WaterFactionSymbolLarge Width:100 Height:139
WindowBackgroundFancy Width:296 Height:378
WindowDivider Width:8 Height:37
WindowNoFrame Width:105 Height:84
XPBarActive Width:5 Height:5
achievement_Activity_AbilityCount Width:50 Height:50
achievement_Activity_AbilityLevel Width:50 Height:50
achievement_Activity_BountiesNumber Width:50 Height:50
achievement_Activity_Dungeon Width:50 Height:50
achievement_Activity_Guild Width:50 Height:50
achievement_Activity_HouseBuilding Width:50 Height:50
achievement_Activity_LandOwner Width:50 Height:50
achievement_Boss Kills_AncientDragon Width:50 Height:50
achievement_Boss Kills_AncientTreeLord Width:50 Height:50
achievement_Boss Kills_Champion Width:50 Height:50
achievement_Boss Kills_Cultist Width:50 Height:50
achievement_Boss Kills_Death Width:50 Height:50
achievement_Crafting_CraftingOrder Width:50 Height:50
achievement_Crafting_FabricationSkillRecipe Width:50 Height:50
achievement_Crafting_MetalsmithSkillRecipe Width:50 Height:50
achievement_Crafting_WoodsmithSkillRecipe Width:50 Height:50
achievement_Executioner_Animal Width:50 Height:50
achievement_Executioner_Arachnid Width:50 Height:50
achievement_Executioner_Demon Width:50 Height:50
achievement_Executioner_Dragon Width:50 Height:50
achievement_Executioner_Giant Width:50 Height:50
achievement_Executioner_Humanoid Width:50 Height:50
achievement_Executioner_Ork Width:50 Height:50
achievement_Executioner_Reptile Width:50 Height:50
achievement_Executioner_Undead Width:50 Height:50
achievement_Fishing_AetherFish Width:50 Height:50
achievement_Fishing_FishingNumber Width:50 Height:50
achievement_Fishing_FishingSize Width:50 Height:50
achievement_Fishing_FishingTreasure Width:50 Height:50
achievement_PvP_FireAllegiance Width:50 Height:50
achievement_PvP_KarmaBad Width:50 Height:50
achievement_PvP_KarmaGood Width:50 Height:50
achievement_PvP_VersusAny Width:50 Height:50
achievement_PvP_VersusBlue Width:50 Height:50
achievement_PvP_VersusRed Width:50 Height:50
achievement_PvP_WaterAllegiance Width:50 Height:50
achievement_Renown_RenownAmount Width:50 Height:50
achievement_Skill_AlchemySkill Width:50 Height:50
achievement_Skill_AnimalLoreSkill Width:50 Height:50
achievement_Skill_AnimalTamingSkill Width:50 Height:50
achievement_Skill_ArcherySkill Width:50 Height:50
achievement_Skill_BardSkill Width:50 Height:50
achievement_Skill_BashingSkill Width:50 Height:50
achievement_Skill_BeastmasterySkill Width:50 Height:50
achievement_Skill_BlockingSkill Width:50 Height:50
achievement_Skill_ChannelingSkill Width:50 Height:50
achievement_Skill_CookingSkill Width:50 Height:50
achievement_Skill_EvocationSkill Width:50 Height:50
achievement_Skill_FabricationSkill Width:50 Height:50
achievement_Skill_FishingSkill Width:50 Height:50
achievement_Skill_HealingSkill Width:50 Height:50
achievement_Skill_HeavyArmorSkill Width:50 Height:50
achievement_Skill_HidingSkill Width:50 Height:50
achievement_Skill_InscriptionSkill Width:50 Height:50
achievement_Skill_LancingSkill Width:50 Height:50
achievement_Skill_LightArmorSkill Width:50 Height:50
achievement_Skill_LumberjackSkill Width:50 Height:50
achievement_Skill_MagicAffinitySkill Width:50 Height:50
achievement_Skill_ManifestationSkill Width:50 Height:50
achievement_Skill_MarksmanshipSkill Width:50 Height:50
achievement_Skill_MeleeSkill Width:50 Height:50
achievement_Skill_MetalsmithSkill Width:50 Height:50
achievement_Skill_MiningSkill Width:50 Height:50
achievement_Skill_MusicianshipSkill Width:50 Height:50
achievement_Skill_NecromancySkill Width:50 Height:50
achievement_Skill_PiercingSkill Width:50 Height:50
achievement_Skill_SlashingSkill Width:50 Height:50
achievement_Skill_StealthSkill Width:50 Height:50
achievement_Skill_TreasureHuntingSkill Width:50 Height:50
achievement_Skill_WoodsmithSkill Width:50 Height:50
achievement_Treasure Hunting_DecipherPrecise Width:50 Height:50
achievement_Treasure Hunting_Fancy Map Width:50 Height:50
achievement_Treasure Hunting_TreasureNumber Width:50 Height:50
Gem_Empty Width:15 Height:12
Gem_Filled Width:15 Height:12
ConversationWindow_BG Width:877 Height:200
Gravestone Width:953 Height:981
HueSwatch Width:4 Height:4
Instructions_Abilities Width:386 Height:110
Instructions_AbilityBar Width:118 Height:58
Instructions_CharacterWindow Width:798 Height:488
Instructions_CombatBasics Width:777 Height:777
Instructions_Inventory Width:649 Height:439
Instructions_ItemBar Width:90 Height:165
Instructions_MageCombatBasics Width:777 Height:777
Instructions_Mini Width:164 Height:164
Instructions_MiniMap Width:601 Height:291
Instructions_Movement_Interaction Width:777 Height:777
Instructions_SpellBar Width:58 Height:492
Instructions_Spells Width:1313 Height:525
PrestigeBook Width:789 Height:455
QuestCompletionRibbonDesign Width:1040 Height:314
ScrollParchmentUIWindow Width:616 Height:751
ShieldBackground Width:263 Height:332
SkillBook Width:789 Height:455
Spellbook Width:789 Height:455

Map Textures:
BarrenLands Width:1024 Height:1024
BarrenLands_subMap Width:2048 Height:2048
BlackForest Width:1024 Height:1024
BlackForest_subMap Width:2048 Height:2048
CatacombsConfig1 Width:1024 Height:1024
CatacombsConfig2 Width:1024 Height:1024
CatacombsConfig3 Width:1024 Height:1024
CatacombsConfig4 Width:1024 Height:1024
CatacombsConfig5 Width:1024 Height:1024
EasternFrontier Width:1024 Height:1024
EasternFrontier_subMap Width:2048 Height:2048
NewCelador Width:1024 Height:1024
NewCelador_full Width:1024 Height:1024
SouthernHills Width:1024 Height:1024
SouthernHills_subMap Width:2048 Height:2048
SouthernRim Width:1024 Height:1024
SouthernRim_subMap Width:2048 Height:2048
TestMap Width:1024 Height:1024
UpperPlains Width:1024 Height:1024
UpperPlains_subMap Width:2048 Height:2048

Scene Loading Textures:
BarrenLands Width:2048 Height:1080
BlackForest Width:2048 Height:1080
Catacombs Width:2048 Height:1080
Contempt Width:2048 Height:1080
Corruption Width:2048 Height:1080
Deception Width:2048 Height:1080
Default Width:2048 Height:1024
EasternFrontier Width:2048 Height:1080
SouthernHills Width:2048 Height:1080
SouthernRim Width:2048 Height:1080
UpperPlains Width:2048 Height:1080

ClientIds with 2D Textures:
3
6
7
8
9
10
12
17
25
26
27
29
30
31
33
34
35
36
37
44
45
46
47
48
50
51
53
54
55
56
57
58
60
61
62
63
78
80
81
94
96
98
100
101
102
103
104
105
106
107
108
109
110
111
112
113
114
115
116
117
118
119
120
121
122
123
124
125
126
127
128
129
132
143
146
149
154
155
156
157
158
159
160
161
165
171
173
179
180
184
185
186
190
191
192
193
194
204
206
207
210
211
215
216
217
218
220
221
222
224
225
226
231
232
234
235
236
237
238
239
240
241
242
243
244
245
246
247
248
249
250
251
253
254
255
256
265
278
279
280
281
282
283
284
285
290
291
292
293
294
295
296
297
298
299
317
318
320
321
323
324
325
326
328
329
330
331
332
333
334
335
337
338
339
340
341
342
348
349
351
352
353
354
355
356
357
358
359
360
361
382
383
384
385
386
387
388
389
393
394
397
399
400
402
406
410
414
415
416
418
421
423
427
428
429
430
437
439
440
444
445
447
449
450
451
452
454
457
460
462
464
466
468
469
473
476
478
480
483
484
487
488
491
495
497
498
499
502
506
530
531
532
533
534
535
536
537
538
539
540
541
542
543
544
545
546
547
548
549
550
551
554
555
556
557
558
559
560
561
563
564
565
566
570
579
580
581
582
583
584
585
586
587
588
589
590
591
592
593
594
595
596
598
599
600
601
602
604
605
606
607
608
609
610
611
612
613
617
618
619
620
621
622
623
624
625
627
628
629
630
631
632
633
634
635
636
637
638
639
653
674
675
678
679
693
694
796
797
801
802
803
804
805
806
807
808
809
810
811
812
813
814
815
816
817
818
819
820
828
838
839
840
855
856
857
858
859
860
861
862
863
864
869
870
874
878
879
881
882
894
898
904
905
906
907
908
909
910
911
912
914
915
916
917
919
920
923
930
931
933
934
935
936
937
938
939
940
941
942
943
944
945
946
947
948
949
950
951
952
953
954
955
956
957
958
959
960
961
962
963
964
965
966
967
968
969
970
971
972
973
974
975
976
977
978
979
984
987
988
989
990
991
992
993
994
995
996
997
998
1000
1001
1002
1003
1004
1005
1006
1008
1009
1010
1011
1012
1013
1014
1015
1017
1018
1019
1021
1022
1023
